"","gender","age","education","device","Z","SRT","CRT.RT","CRT.ACC","BDS","FDS","DSM","Matrix","CPT.C","CPT.D","Vis","Verb","TA.total","TA.errors","TA.mRT","TB.total","TB.errors","TB.mRT"
"1","F","12",NA,"Windows","-4","479","1855",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75678","18","1507","114873","14","2663"
"2","F","12",NA,"Windows","-3.75","468","1796",NA,NA,NA,NA,"1",NA,NA,NA,NA,"72803","17","1456","110629","14","2567"
"3","F","12",NA,"Windows","-3.5","456","1737",NA,NA,NA,"3","3",NA,NA,NA,NA,"69928","16","1406","106386","13","2471"
"4","F","12",NA,"Windows","-3.25","445","1677",NA,NA,NA,"6","4",NA,NA,NA,NA,"67054","15","1355","102142","12","2375"
"5","F","12",NA,"Windows","-3","433","1618",NA,NA,NA,"10","6",NA,NA,NA,NA,"64179","14","1305","97899","11","2279"
"6","F","12",NA,"Windows","-2.75","422","1558","0.52",NA,NA,"13","7",NA,NA,NA,NA,"61304","13","1254","93655","11","2183"
"7","F","12",NA,"Windows","-2.5","410","1499","0.55",NA,NA,"16","9","0.01","0.01",NA,NA,"58429","12","1204","89412","10","2087"
"8","F","12",NA,"Windows","-2.25","399","1439","0.58",NA,NA,"20","10","0.209","0.209",NA,NA,"55554","11","1153","85169","9","1991"
"9","F","12",NA,"Windows","-2","387","1380","0.62",NA,NA,"23","12","0.408","0.408","5",NA,"52680","10","1102","80925","8","1895"
"10","F","12",NA,"Windows","-1.75","376","1321","0.65",NA,"2","26","13","0.607","0.607","7","7","49805","9","1052","76682","8","1799"
"11","F","12",NA,"Windows","-1.5","364","1261","0.68",NA,"3","30","15","0.806","0.806","8","8","46930","8","1001","72438","7","1703"
"12","F","12",NA,"Windows","-1.25","352","1202","0.72","2","3","33","16","1.005","1.005","9","9","44055","7","951","68195","6","1607"
"13","F","12",NA,"Windows","-1","341","1142","0.75","3","4","36","18","1.204","1.204","10","11","41180","6","900","63951","5","1511"
"14","F","12",NA,"Windows","-0.75","329","1083","0.78","3","4","40","20","1.403","1.403","11","12","38306","5","850","59708","5","1415"
"15","F","12",NA,"Windows","-0.5","318","1024","0.82","4","4","43","21","1.602","1.602","12","14","35431","4","799","55464","4","1319"
"16","F","12",NA,"Windows","-0.25","306","964","0.85","4","5","46","23","1.801","1.801","14","15","32556","3","749","51221","3","1223"
"17","F","12",NA,"Windows","0","295","905","0.89","5","5","50","24","2","2","15","16","29681","2","698","46978","2","1127"
"18","F","12",NA,"Windows","0.25","283","845","0.92","5","6","53","26","2.199","2.199","16","18","26806","1","648","42734","2","1031"
"19","F","12",NA,"Windows","0.5","272","786","0.95","5","6","56","27","2.398","2.398","17","19","23932",NA,"597","38491","1","935"
"20","F","12",NA,"Windows","0.75","260","727","0.99","6","6","60","29","2.597","2.597","18","20","21057",NA,"547","34247","0","839"
"21","F","12",NA,"Windows","1","248","667",NA,"6","7","63","30","2.796","2.796","20","22","18182",NA,"496","30004",NA,"742"
"22","F","12",NA,"Windows","1.25","237","608",NA,"7","7","66","32","2.995","2.995","21","23","15307",NA,"446","25760",NA,"646"
"23","F","12",NA,"Windows","1.5","225","548",NA,"7","8","70","33","3.194","3.194","22","25","12432",NA,"395","21517",NA,"550"
"24","F","12",NA,"Windows","1.75","214",NA,NA,"8","8","73","35","3.393","3.393","23",NA,"9558",NA,"344","17274",NA,"454"
"25","F","12",NA,"Windows","2","202",NA,NA,"8","9","76",NA,"3.592","3.592",NA,NA,"6683",NA,"294","13030",NA,"358"
"26","F","12",NA,"Windows","2.25",NA,NA,NA,"9","9","80",NA,"3.791","3.791",NA,NA,NA,NA,"243","8787",NA,"262"
"27","F","12",NA,"Windows","2.5",NA,NA,NA,"9","9","83",NA,"3.99","3.99",NA,NA,NA,NA,"193",NA,NA,"166"
"28","F","12",NA,"Windows","2.75",NA,NA,NA,"10","10","86",NA,"4.189","4.189",NA,NA,NA,NA,NA,NA,NA,NA
"29","F","12",NA,"Windows","3",NA,NA,NA,"10","10","90",NA,"4.388","4.388",NA,NA,NA,NA,NA,NA,NA,NA
"30","F","12",NA,"Windows","3.25",NA,NA,NA,"11","11","93",NA,"4.587","4.587",NA,NA,NA,NA,NA,NA,NA,NA
"31","F","12",NA,"Windows","3.5",NA,NA,NA,NA,NA,"96",NA,"4.786","4.786",NA,NA,NA,NA,NA,NA,NA,NA
"32","F","12",NA,"Windows","3.75",NA,NA,NA,NA,NA,"100",NA,"4.985","4.985",NA,NA,NA,NA,NA,NA,NA,NA
"33","F","12",NA,"Windows","4",NA,NA,NA,NA,NA,"103",NA,"5.184","5.184",NA,NA,NA,NA,NA,NA,NA,NA
"34","F","12",NA,"Macintosh","-4","477","1839",NA,NA,NA,NA,"1",NA,NA,NA,NA,"76322","18","1554","116182","14","2703"
"35","F","12",NA,"Macintosh","-3.75","465","1779",NA,NA,NA,NA,"3",NA,NA,NA,NA,"73447","17","1503","111939","14","2607"
"36","F","12",NA,"Macintosh","-3.5","454","1720",NA,NA,NA,"3","4",NA,NA,NA,NA,"70572","16","1452","107696","13","2511"
"37","F","12",NA,"Macintosh","-3.25","442","1660",NA,NA,NA,"7","6",NA,NA,NA,NA,"67697","15","1402","103452","12","2415"
"38","F","12",NA,"Macintosh","-3","431","1601",NA,NA,NA,"10","7",NA,NA,NA,NA,"64822","14","1351","99209","11","2319"
"39","F","12",NA,"Macintosh","-2.75","419","1542","0.52",NA,NA,"13","9",NA,NA,NA,NA,"61948","13","1301","94965","11","2222"
"40","F","12",NA,"Macintosh","-2.5","408","1482","0.56",NA,NA,"17","10","0.132","0.132",NA,NA,"59073","12","1250","90722","10","2126"
"41","F","12",NA,"Macintosh","-2.25","396","1423","0.59",NA,NA,"20","12","0.331","0.331",NA,NA,"56198","11","1200","86478","9","2030"
"42","F","12",NA,"Macintosh","-2","385","1363","0.62",NA,NA,"23","13","0.53","0.53","5","6","53323","10","1149","82235","8","1934"
"43","F","12",NA,"Macintosh","-1.75","373","1304","0.66",NA,"2","27","15","0.729","0.729","6","8","50448","9","1099","77992","8","1838"
"44","F","12",NA,"Macintosh","-1.5","362","1244","0.69",NA,"3","30","16","0.928","0.928","8","9","47574","8","1048","73748","7","1742"
"45","F","12",NA,"Macintosh","-1.25","350","1185","0.72","2","3","33","18","1.127","1.127","9","11","44699","7","998","69505","6","1646"
"46","F","12",NA,"Macintosh","-1","338","1126","0.76","3","4","37","19","1.326","1.326","10","12","41824","6","947","65261","5","1550"
"47","F","12",NA,"Macintosh","-0.75","327","1066","0.79","3","4","40","21","1.524","1.524","11","13","38949","5","897","61018","5","1454"
"48","F","12",NA,"Macintosh","-0.5","315","1007","0.83","4","4","43","23","1.723","1.723","12","15","36074","4","846","56774","4","1358"
"49","F","12",NA,"Macintosh","-0.25","304","947","0.86","4","5","47","24","1.922","1.922","13","16","33200","3","796","52531","3","1262"
"50","F","12",NA,"Macintosh","0","292","888","0.89","5","5","50","26","2.121","2.121","15","17","30325","2","745","48287","2","1166"
"51","F","12",NA,"Macintosh","0.25","281","829","0.93","5","6","53","27","2.32","2.32","16","19","27450","1","695","44044","2","1070"
"52","F","12",NA,"Macintosh","0.5","269","769","0.96","5","6","57","29","2.519","2.519","17","20","24575",NA,"644","39801","1","974"
"53","F","12",NA,"Macintosh","0.75","258","710","0.99","6","7","60","30","2.718","2.718","18","22","21700",NA,"593","35557","0","878"
"54","F","12",NA,"Macintosh","1","246","650",NA,"6","7","63","32","2.917","2.917","19","23","18826",NA,"543","31314",NA,"782"
"55","F","12",NA,"Macintosh","1.25","234","591",NA,"7","7","67","33","3.116","3.116","20","24","15951",NA,"492","27070",NA,"686"
"56","F","12",NA,"Macintosh","1.5","223","532",NA,"7","8","70","35","3.315","3.315","22",NA,"13076",NA,"442","22827",NA,"590"
"57","F","12",NA,"Macintosh","1.75","211",NA,NA,"8","8","73",NA,"3.514","3.514","23",NA,"10201",NA,"391","18583",NA,"494"
"58","F","12",NA,"Macintosh","2",NA,NA,NA,"8","9","77",NA,"3.713","3.713","24",NA,"7326",NA,"341","14340",NA,"398"
"59","F","12",NA,"Macintosh","2.25",NA,NA,NA,"9","9","80",NA,"3.912","3.912",NA,NA,NA,NA,"290","10097",NA,"302"
"60","F","12",NA,"Macintosh","2.5",NA,NA,NA,"9","9","83",NA,"4.111","4.111",NA,NA,NA,NA,"240","5853",NA,"206"
"61","F","12",NA,"Macintosh","2.75",NA,NA,NA,"10","10","87",NA,"4.31","4.31",NA,NA,NA,NA,"189",NA,NA,NA
"62","F","12",NA,"Macintosh","3",NA,NA,NA,"10","10","90",NA,"4.509","4.509",NA,NA,NA,NA,NA,NA,NA,NA
"63","F","12",NA,"Macintosh","3.25",NA,NA,NA,"11","11","93",NA,"4.708","4.708",NA,NA,NA,NA,NA,NA,NA,NA
"64","F","12",NA,"Macintosh","3.5",NA,NA,NA,NA,NA,"97",NA,"4.907","4.907",NA,NA,NA,NA,NA,NA,NA,NA
"65","F","12",NA,"Macintosh","3.75",NA,NA,NA,NA,NA,"100",NA,"5.106","5.106",NA,NA,NA,NA,NA,NA,NA,NA
"66","F","12",NA,"Macintosh","4",NA,NA,NA,NA,NA,"103",NA,"5.305","5.305",NA,NA,NA,NA,NA,NA,NA,NA
"67","F","12",NA,"Android Smartphone","-4","539","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,"89723","19","1712","131157","15","3002"
"68","F","12",NA,"Android Smartphone","-3.75","527","1935",NA,NA,NA,NA,NA,NA,NA,NA,NA,"86848","18","1662","126913","14","2906"
"69","F","12",NA,"Android Smartphone","-3.5","516","1875",NA,NA,NA,NA,"2",NA,NA,NA,NA,"83974","17","1611","122670","13","2810"
"70","F","12",NA,"Android Smartphone","-3.25","504","1816",NA,NA,NA,NA,"4",NA,NA,NA,NA,"81099","16","1561","118426","12","2714"
"71","F","12",NA,"Android Smartphone","-3","493","1756",NA,NA,NA,NA,"5",NA,NA,NA,NA,"78224","15","1510","114183","12","2618"
"72","F","12",NA,"Android Smartphone","-2.75","481","1697","0.52",NA,NA,"3","7",NA,NA,NA,NA,"75349","14","1460","109939","11","2522"
"73","F","12",NA,"Android Smartphone","-2.5","469","1638","0.55",NA,NA,"6","8",NA,NA,NA,NA,"72474","13","1409","105696","10","2426"
"74","F","12",NA,"Android Smartphone","-2.25","458","1578","0.58",NA,NA,"10","10","0.041","0.041",NA,NA,"69600","12","1359","101452","9","2330"
"75","F","12",NA,"Android Smartphone","-2","446","1519","0.62",NA,NA,"13","11","0.24","0.24",NA,NA,"66725","11","1308","97209","9","2234"
"76","F","12",NA,"Android Smartphone","-1.75","435","1459","0.65",NA,"2","16","13","0.439","0.439","6","6","63850","10","1258","92966","8","2138"
"77","F","12",NA,"Android Smartphone","-1.5","423","1400","0.68",NA,"3","20","14","0.638","0.638","7","7","60975","9","1207","88722","7","2041"
"78","F","12",NA,"Android Smartphone","-1.25","412","1341","0.72","2","3","23","16","0.837","0.837","8","9","58100","8","1157","84479","6","1945"
"79","F","12",NA,"Android Smartphone","-1","400","1281","0.75","3","4","26","17","1.036","1.036","10","10","55226","7","1106","80235","6","1849"
"80","F","12",NA,"Android Smartphone","-0.75","389","1222","0.78","3","4","30","19","1.235","1.235","11","12","52351","6","1056","75992","5","1753"
"81","F","12",NA,"Android Smartphone","-0.5","377","1162","0.82","4","4","33","20","1.434","1.434","12","13","49476","5","1005","71748","4","1657"
"82","F","12",NA,"Android Smartphone","-0.25","365","1103","0.85","4","5","36","22","1.633","1.633","13","14","46601","4","955","67505","3","1561"
"83","F","12",NA,"Android Smartphone","0","354","1044","0.89","5","5","40","23","1.832","1.832","14","16","43726","3","904","63262","3","1465"
"84","F","12",NA,"Android Smartphone","0.25","342","984","0.92","5","6","43","25","2.031","2.031","15","17","40852","2","853","59018","2","1369"
"85","F","12",NA,"Android Smartphone","0.5","331","925","0.95","6","6","46","26","2.23","2.23","17","19","37977","1","803","54775","1","1273"
"86","F","12",NA,"Android Smartphone","0.75","319","865","0.99","6","7","50","28","2.429","2.429","18","20","35102",NA,"752","50531","0","1177"
"87","F","12",NA,"Android Smartphone","1","308","806",NA,"7","7","53","29","2.628","2.628","19","21","32227",NA,"702","46288",NA,"1081"
"88","F","12",NA,"Android Smartphone","1.25","296","746",NA,"7","7","56","31","2.827","2.827","20","23","29352",NA,"651","42044",NA,"985"
"89","F","12",NA,"Android Smartphone","1.5","285","687",NA,"7","8","60","32","3.026","3.026","21","24","26478",NA,"601","37801",NA,"889"
"90","F","12",NA,"Android Smartphone","1.75","273","628",NA,"8","8","63","34","3.225","3.225","22",NA,"23603",NA,"550","33557",NA,"793"
"91","F","12",NA,"Android Smartphone","2","261","568",NA,"8","9","66","35","3.424","3.424","24",NA,"20728",NA,"500","29314",NA,"697"
"92","F","12",NA,"Android Smartphone","2.25","250","509",NA,"9","9","70",NA,"3.623","3.623",NA,NA,"17853",NA,"449","25071",NA,"601"
"93","F","12",NA,"Android Smartphone","2.5","238",NA,NA,"9","9","73",NA,"3.822","3.822",NA,NA,"14978",NA,"399","20827",NA,"505"
"94","F","12",NA,"Android Smartphone","2.75","227",NA,NA,"10","10","76",NA,"4.021","4.021",NA,NA,"12104",NA,"348","16584",NA,"409"
"95","F","12",NA,"Android Smartphone","3","215",NA,NA,"10","10","80",NA,"4.22","4.22",NA,NA,"9229",NA,"298","12340",NA,"313"
"96","F","12",NA,"Android Smartphone","3.25","204",NA,NA,"11","11","83",NA,"4.419","4.419",NA,NA,"6354",NA,"247","8097",NA,"217"
"97","F","12",NA,"Android Smartphone","3.5",NA,NA,NA,NA,NA,"86",NA,"4.618","4.618",NA,NA,NA,NA,"197",NA,NA,NA
"98","F","12",NA,"Android Smartphone","3.75",NA,NA,NA,NA,NA,"90",NA,"4.817","4.817",NA,NA,NA,NA,NA,NA,NA,NA
"99","F","12",NA,"Android Smartphone","4",NA,NA,NA,NA,NA,"93",NA,"5.016","5.016",NA,NA,NA,NA,NA,NA,NA,NA
"100","F","12",NA,"iPhone","-4","502","1889",NA,NA,NA,NA,NA,NA,NA,NA,NA,"87349","21","1632","127792","15","2927"
"101","F","12",NA,"iPhone","-3.75","490","1830",NA,NA,NA,NA,"2",NA,NA,NA,NA,"84474","20","1581","123549","14","2831"
"102","F","12",NA,"iPhone","-3.5","479","1770",NA,NA,NA,NA,"3",NA,NA,NA,NA,"81599","19","1531","119305","14","2735"
"103","F","12",NA,"iPhone","-3.25","467","1711",NA,NA,NA,NA,"5",NA,NA,NA,NA,"78724","18","1480","115062","13","2639"
"104","F","12",NA,"iPhone","-3","455","1652",NA,NA,NA,"2","6",NA,NA,NA,NA,"75849","17","1430","110818","12","2543"
"105","F","12",NA,"iPhone","-2.75","444","1592","0.53",NA,NA,"5","8",NA,NA,NA,NA,"72975","16","1379","106575","11","2447"
"106","F","12",NA,"iPhone","-2.5","432","1533","0.56",NA,NA,"9","9","0.002","0.002",NA,NA,"70100","15","1329","102331","11","2351"
"107","F","12",NA,"iPhone","-2.25","421","1473","0.6",NA,NA,"12","11","0.201","0.201",NA,NA,"67225","14","1278","98088","10","2255"
"108","F","12",NA,"iPhone","-2","409","1414","0.63",NA,"2","15","12","0.4","0.4",NA,NA,"64350","13","1228","93845","9","2159"
"109","F","12",NA,"iPhone","-1.75","398","1355","0.66",NA,"3","19","14","0.599","0.599","5","6","61475","12","1177","89601","8","2063"
"110","F","12",NA,"iPhone","-1.5","386","1295","0.7",NA,"3","22","15","0.798","0.798","6","8","58601","11","1127","85358","8","1967"
"111","F","12",NA,"iPhone","-1.25","375","1236","0.73","2","3","25","17","0.997","0.997","8","9","55726","10","1076","81114","7","1871"
"112","F","12",NA,"iPhone","-1","363","1176","0.77","3","4","29","18","1.196","1.196","9","10","52851","9","1026","76871","6","1775"
"113","F","12",NA,"iPhone","-0.75","352","1117","0.8","3","4","32","20","1.395","1.395","10","12","49976","7","975","72627","5","1679"
"114","F","12",NA,"iPhone","-0.5","340","1058","0.83","3","5","35","21","1.594","1.594","11","13","47101","6","925","68384","5","1583"
"115","F","12",NA,"iPhone","-0.25","328","998","0.87","4","5","39","23","1.793","1.793","12","14","44227","5","874","64141","4","1486"
"116","F","12",NA,"iPhone","0","317","939","0.9","4","5","42","24","1.992","1.992","13","16","41352","4","824","59897","3","1390"
"117","F","12",NA,"iPhone","0.25","305","879","0.93","5","6","45","26","2.191","2.191","15","17","38477","3","773","55654","2","1294"
"118","F","12",NA,"iPhone","0.5","294","820","0.97","5","6","49","27","2.39","2.39","16","19","35602","2","722","51410","2","1198"
"119","F","12",NA,"iPhone","0.75","282","761",NA,"6","7","52","29","2.589","2.589","17","20","32727","1","672","47167","1","1102"
"120","F","12",NA,"iPhone","1","271","701",NA,"6","7","55","31","2.788","2.788","18","21","29852","0","621","42923","0","1006"
"121","F","12",NA,"iPhone","1.25","259","642",NA,"7","8","59","32","2.987","2.987","19","23","26978",NA,"571","38680",NA,"910"
"122","F","12",NA,"iPhone","1.5","248","582",NA,"7","8","62","34","3.186","3.186","21","24","24103",NA,"520","34436",NA,"814"
"123","F","12",NA,"iPhone","1.75","236","523",NA,"8","8","65","35","3.385","3.385","22",NA,"21228",NA,"470","30193",NA,"718"
"124","F","12",NA,"iPhone","2","224",NA,NA,"8","9","69",NA,"3.584","3.584","23",NA,"18353",NA,"419","25950",NA,"622"
"125","F","12",NA,"iPhone","2.25","213",NA,NA,"9","9","72",NA,"3.783","3.783",NA,NA,"15478",NA,"369","21706",NA,"526"
"126","F","12",NA,"iPhone","2.5","201",NA,NA,"9","10","75",NA,"3.982","3.982",NA,NA,"12604",NA,"318","17463",NA,"430"
"127","F","12",NA,"iPhone","2.75",NA,NA,NA,"10","10","79",NA,"4.181","4.181",NA,NA,"9729",NA,"268","13219",NA,"334"
"128","F","12",NA,"iPhone","3",NA,NA,NA,"10","10","82",NA,"4.38","4.38",NA,NA,"6854",NA,"217","8976",NA,"238"
"129","F","12",NA,"iPhone","3.25",NA,NA,NA,"11","11","86",NA,"4.579","4.579",NA,NA,NA,NA,"167",NA,NA,NA
"130","F","12",NA,"iPhone","3.5",NA,NA,NA,NA,NA,"89",NA,"4.778","4.778",NA,NA,NA,NA,NA,NA,NA,NA
"131","F","12",NA,"iPhone","3.75",NA,NA,NA,NA,NA,"92",NA,"4.977","4.977",NA,NA,NA,NA,NA,NA,NA,NA
"132","F","12",NA,"iPhone","4",NA,NA,NA,NA,NA,"96",NA,"5.176","5.176",NA,NA,NA,NA,NA,NA,NA,NA
"133","F","12",NA,"iPad","-4","508","1883",NA,NA,NA,NA,NA,NA,NA,NA,NA,"72463","19","1387","113460","15","2593"
"134","F","12",NA,"iPad","-3.75","496","1823",NA,NA,NA,NA,NA,NA,NA,NA,NA,"69588","18","1337","109216","14","2497"
"135","F","12",NA,"iPad","-3.5","485","1764",NA,NA,NA,NA,"2",NA,NA,NA,NA,"66713","17","1286","104973","13","2401"
"136","F","12",NA,"iPad","-3.25","473","1704",NA,NA,NA,NA,"3",NA,NA,NA,NA,"63838","16","1236","100730","12","2305"
"137","F","12",NA,"iPad","-3","461","1645","0.51",NA,NA,"4","5",NA,NA,NA,NA,"60963","15","1185","96486","12","2209"
"138","F","12",NA,"iPad","-2.75","450","1585","0.55",NA,NA,"7","6",NA,NA,NA,NA,"58089","14","1135","92243","11","2113"
"139","F","12",NA,"iPad","-2.5","438","1526","0.58",NA,NA,"11","8","0.119","0.119",NA,NA,"55214","13","1084","87999","10","2017"
"140","F","12",NA,"iPad","-2.25","427","1467","0.61",NA,NA,"14","9","0.318","0.318",NA,NA,"52339","12","1034","83756","9","1921"
"141","F","12",NA,"iPad","-2","415","1407","0.65",NA,"2","17","11","0.517","0.517","6",NA,"49464","11","983","79512","8","1825"
"142","F","12",NA,"iPad","-1.75","404","1348","0.68",NA,"3","21","12","0.716","0.716","7","7","46589","10","933","75269","8","1729"
"143","F","12",NA,"iPad","-1.5","392","1288","0.71","2","3","24","14","0.915","0.915","8","8","43715","9","882","71026","7","1633"
"144","F","12",NA,"iPad","-1.25","381","1229","0.75","3","4","27","15","1.114","1.114","9","10","40840","8","832","66782","6","1537"
"145","F","12",NA,"iPad","-1","369","1170","0.78","3","4","31","17","1.313","1.313","10","11","37965","6","781","62539","5","1440"
"146","F","12",NA,"iPad","-0.75","358","1110","0.81","4","4","34","18","1.512","1.512","11","13","35090","5","731","58295","5","1344"
"147","F","12",NA,"iPad","-0.5","346","1051","0.85","4","5","37","20","1.71","1.71","13","14","32215","4","680","54052","4","1248"
"148","F","12",NA,"iPad","-0.25","334","991","0.88","4","5","41","21","1.909","1.909","14","15","29341","3","629","49808","3","1152"
"149","F","12",NA,"iPad","0","323","932","0.92","5","6","44","23","2.108","2.108","15","17","26466","2","579","45565","2","1056"
"150","F","12",NA,"iPad","0.25","311","873","0.95","5","6","47","24","2.307","2.307","16","18","23591","1","528","41322","2","960"
"151","F","12",NA,"iPad","0.5","300","813","0.98","6","6","51","26","2.506","2.506","17","19","20716","0","478","37078","1","864"
"152","F","12",NA,"iPad","0.75","288","754",NA,"6","7","54","27","2.705","2.705","18","21","17841",NA,"427","32835","0","768"
"153","F","12",NA,"iPad","1","277","694",NA,"7","7","57","29","2.904","2.904","20","22","14967",NA,"377","28591",NA,"672"
"154","F","12",NA,"iPad","1.25","265","635",NA,"7","8","61","30","3.103","3.103","21","24","12092",NA,"326","24348",NA,"576"
"155","F","12",NA,"iPad","1.5","254","576",NA,"8","8","64","32","3.302","3.302","22",NA,"9217",NA,"276","20104",NA,"480"
"156","F","12",NA,"iPad","1.75","242","516",NA,"8","9","67","33","3.501","3.501","23",NA,"6342",NA,"225","15861",NA,"384"
"157","F","12",NA,"iPad","2","230",NA,NA,"9","9","71","35","3.7","3.7",NA,NA,NA,NA,"175","11617",NA,"288"
"158","F","12",NA,"iPad","2.25","219",NA,NA,"9","9","74",NA,"3.899","3.899",NA,NA,NA,NA,NA,"7374",NA,"192"
"159","F","12",NA,"iPad","2.5","207",NA,NA,"10","10","77",NA,"4.098","4.098",NA,NA,NA,NA,NA,NA,NA,NA
"160","F","12",NA,"iPad","2.75",NA,NA,NA,"10","10","81",NA,"4.297","4.297",NA,NA,NA,NA,NA,NA,NA,NA
"161","F","12",NA,"iPad","3",NA,NA,NA,"11","11","84",NA,"4.496","4.496",NA,NA,NA,NA,NA,NA,NA,NA
"162","F","12",NA,"iPad","3.25",NA,NA,NA,NA,NA,"87",NA,"4.695","4.695",NA,NA,NA,NA,NA,NA,NA,NA
"163","F","12",NA,"iPad","3.5",NA,NA,NA,NA,NA,"91",NA,"4.894","4.894",NA,NA,NA,NA,NA,NA,NA,NA
"164","F","12",NA,"iPad","3.75",NA,NA,NA,NA,NA,"94",NA,"5.093","5.093",NA,NA,NA,NA,NA,NA,NA,NA
"165","F","12",NA,"iPad","4",NA,NA,NA,NA,NA,"97",NA,"5.292","5.292",NA,NA,NA,NA,NA,NA,NA,NA
"166","F","12",NA,"unknown","-4","510","1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,"79627","19","1566","118452","14","2736"
"167","F","12",NA,"unknown","-3.75","497","1834",NA,NA,NA,NA,"1",NA,NA,NA,NA,"76581","18","1514","114081","14","2638"
"168","F","12",NA,"unknown","-3.5","484","1773",NA,NA,NA,NA,"3",NA,NA,NA,NA,"73535","17","1461","109711","13","2539"
"169","F","12",NA,"unknown","-3.25","472","1712",NA,NA,NA,NA,"4",NA,NA,NA,NA,"70489","16","1408","105340","12","2441"
"170","F","12",NA,"unknown","-3","459","1651",NA,NA,NA,"5","6",NA,NA,NA,NA,"67443","15","1355","100970","11","2342"
"171","F","12",NA,"unknown","-2.75","446","1590","0.52",NA,NA,"9","7",NA,NA,NA,NA,"64397","13","1303","96599","11","2244"
"172","F","12",NA,"unknown","-2.5","433","1529","0.55",NA,NA,"12","9",NA,NA,NA,NA,"61351","12","1250","92228","10","2145"
"173","F","12",NA,"unknown","-2.25","421","1468","0.59",NA,NA,"16","10","0.192","0.192",NA,NA,"58305","11","1197","87858","9","2047"
"174","F","12",NA,"unknown","-2","408","1407","0.62",NA,NA,"19","12","0.391","0.391","5",NA,"55259","10","1144","83487","8","1948"
"175","F","12",NA,"unknown","-1.75","395","1347","0.65",NA,"2","23","13","0.591","0.591","6","7","52213","9","1092","79117","8","1850"
"176","F","12",NA,"unknown","-1.5","382","1286","0.69",NA,"3","26","15","0.791","0.791","8","8","49167","8","1039","74746","7","1751"
"177","F","12",NA,"unknown","-1.25","370","1225","0.72","2","3","30","16","0.991","0.991","9","9","46121","7","986","70376","6","1653"
"178","F","12",NA,"unknown","-1","357","1164","0.76","3","4","33","18","1.191","1.191","10","11","43075","6","934","66005","5","1554"
"179","F","12",NA,"unknown","-0.75","344","1103","0.79","3","4","37","19","1.391","1.391","11","12","40029","5","881","61635","5","1456"
"180","F","12",NA,"unknown","-0.5","331","1042","0.82","4","4","40","21","1.591","1.591","12","14","36983","4","828","57264","4","1357"
"181","F","12",NA,"unknown","-0.25","319","981","0.86","4","5","44","23","1.791","1.791","14","15","33937","3","775","52893","3","1258"
"182","F","12",NA,"unknown","0","306","920","0.89","5","5","47","24","1.991","1.991","15","16","30891","2","723","48523","2","1160"
"183","F","12",NA,"unknown","0.25","293","859","0.92","5","6","50","26","2.191","2.191","16","18","27845","1","670","44152","2","1061"
"184","F","12",NA,"unknown","0.5","280","799","0.96","6","6","54","27","2.391","2.391","17","19","24799",NA,"617","39782","1","963"
"185","F","12",NA,"unknown","0.75","268","738","0.99","6","7","57","29","2.591","2.591","18","21","21753",NA,"564","35411","0","864"
"186","F","12",NA,"unknown","1","255","677",NA,"6","7","61","30","2.791","2.791","19","22","18707",NA,"512","31041",NA,"766"
"187","F","12",NA,"unknown","1.25","242","616",NA,"7","7","64","32","2.99","2.99","21","23","15661",NA,"459","26670",NA,"667"
"188","F","12",NA,"unknown","1.5","229","555",NA,"7","8","68","33","3.19","3.19","22","25","12615",NA,"406","22300",NA,"569"
"189","F","12",NA,"unknown","1.75","217",NA,NA,"8","8","71","35","3.39","3.39","23",NA,"9569",NA,"353","17929",NA,"470"
"190","F","12",NA,"unknown","2","204",NA,NA,"8","9","75",NA,"3.59","3.59",NA,NA,"6523",NA,"301","13558",NA,"372"
"191","F","12",NA,"unknown","2.25",NA,NA,NA,"9","9","78",NA,"3.79","3.79",NA,NA,NA,NA,"248","9188",NA,"273"
"192","F","12",NA,"unknown","2.5",NA,NA,NA,"9","9","82",NA,"3.99","3.99",NA,NA,NA,NA,"195",NA,NA,"175"
"193","F","12",NA,"unknown","2.75",NA,NA,NA,"10","10","85",NA,"4.19","4.19",NA,NA,NA,NA,NA,NA,NA,NA
"194","F","12",NA,"unknown","3",NA,NA,NA,"10","10","89",NA,"4.39","4.39",NA,NA,NA,NA,NA,NA,NA,NA
"195","F","12",NA,"unknown","3.25",NA,NA,NA,"11","11","92",NA,"4.59","4.59",NA,NA,NA,NA,NA,NA,NA,NA
"196","F","12",NA,"unknown","3.5",NA,NA,NA,NA,NA,"96",NA,"4.79","4.79",NA,NA,NA,NA,NA,NA,NA,NA
"197","F","12",NA,"unknown","3.75",NA,NA,NA,NA,NA,"99",NA,"4.99","4.99",NA,NA,NA,NA,NA,NA,NA,NA
"198","F","12",NA,"unknown","4",NA,NA,NA,NA,NA,"103",NA,"5.19","5.19",NA,NA,NA,NA,NA,NA,NA,NA
"199","F","13",NA,"Windows","-4","475","1832",NA,NA,NA,NA,NA,NA,NA,NA,NA,"74509","18","1486","112082","14","2611"
"200","F","13",NA,"Windows","-3.75","464","1772",NA,NA,NA,NA,"1",NA,NA,NA,NA,"71634","17","1435","107838","13","2515"
"201","F","13",NA,"Windows","-3.5","452","1713",NA,NA,NA,"5","3",NA,NA,NA,NA,"68759","16","1385","103595","13","2419"
